Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
G,253,Henderson,5.0,5.0,Crystal Palace,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.60,3.29,3.61,3.25,3.74,3.36,2.87,3.16,3.40,3.68
G,254,Benitez,4.0,4.0,Crystal Palace,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04
G,255,Matthews,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.7,5.7,Crystal Palace,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,4.57,4.04,4.38,3.58,4.29,4.11,3.63,4.12,4.23,4.60
D,257,Lacroix,5.0,5.0,Crystal Palace,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,4.39,4.11,4.90,3.86,4.32,4.35,3.35,4.32,4.32,4.73
D,258,Mitchell,5.0,5.0,Crystal Palace,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,4.13,3.74,4.11,3.42,4.04,3.84,3.00,3.93,3.90,4.20
D,259,Sosa,4.9,4.9,Crystal Palace,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,0.40,0.36,0.37,0.36,0.38,0.35,0.32,0.36,0.38,0.39
D,260,Guéhi,5.0,5.0,Crystal Palace,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,3.83,3.56,4.39,3.25,3.88,3.78,2.80,3.70,3.75,4.15
D,261,Richards,4.5,4.5,Crystal Palace,71.40,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,3.46,3.86,4.60,3.56,4.07,4.08,3.14,4.05,3.99,4.39
D,262,Chadi Riad,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,263,Clyne,3.9,3.9,Crystal Palace,11.70,11.70,11.70,11.70,11.70,11.70,11.70,11.70,11.70,11.70,0.47,0.46,0.50,0.44,0.47,0.46,0.42,0.46,0.47,0.49
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,266,Eze,7.6,7.6,Arsenal,81.30,77.10,68.10,68.10,68.10,68.10,68.10,68.10,68.10,68.10,4.99,4.25,4.06,3.49,4.21,3.64,4.38,3.62,4.00,4.02
