Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
M,245,Mudryk,5.0,5.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,0.73,0.68,0.70,0.70,0.66,0.70,0.64,0.64,0.81,0.68,0.73,0.73
M,247,D.Essugo,4.5,4.5,Chelsea,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.07
M,248,Paez,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.5,7.5,Chelsea,73.50,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,4.60,4.15,4.28,4.25,3.80,4.24,3.75,3.79,5.22,4.01,4.44,4.49
F,250,Delap,6.5,6.5,Chelsea,38.55,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,2.44,2.14,2.22,2.16,2.00,2.22,1.96,2.00,2.71,2.03,2.29,2.31
F,251,N.Jackson,6.5,6.5,Chelsea,0.00,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,0.00,1.10,1.14,1.12,1.01,1.12,1.00,1.00,1.37,1.06,1.18,1.18
F,252,Marc Guiu,4.5,4.5,Sunderland,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,0.78,0.75,0.76,0.67,0.73,0.66,0.67,0.75,0.63,0.71,0.63,0.67
G,253,Henderson,5.0,5.0,Crystal Palace,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.54,3.59,2.68,3.89,3.13,2.49,3.19,3.45,2.32,3.43,3.27,3.30
G,254,Benitez,4.0,4.0,Crystal Palace,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
G,255,Matthews,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.5,5.5,Crystal Palace,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,2.71,4.34,3.45,5.55,4.05,3.18,3.90,4.36,2.76,4.47,4.20,3.99
D,257,Lacroix,5.0,5.0,Crystal Palace,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,2.91,4.23,3.45,5.04,3.96,3.47,3.95,4.35,3.24,4.44,4.27,3.99
D,258,Mitchell,5.0,5.0,Crystal Palace,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,2.35,3.76,2.86,4.57,3.44,2.70,3.36,3.59,2.40,3.74,3.57,3.46
D,259,Sosa,5.0,5.0,Crystal Palace,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,0.71,0.93,0.80,1.09,0.88,0.77,0.87,0.91,0.71,0.96,0.90,0.89
D,260,Guéhi,4.5,4.5,Crystal Palace,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,2.40,3.73,2.87,4.46,3.39,2.92,3.41,3.69,2.59,3.81,3.56,3.41
